228	the-real-mccoy-sandwich-shop-pittsburgh-3
229	nak-won-garden-pittsburgh
230	chickn-bubbly-pittsburgh-3
231	sams-sun-sandwich-pittsburgh
232	local-bar-kitchen-pittsburgh
233	mercurios-pittsburgh
234	sushi-and-rolls-pittsburgh
235	the-capital-grille-pittsburgh
236	giorgios-place-pittsburgh
237	heinz-usa-pittsburgh
238	the-yard-gastropub-pittsburgh-4
239	top-shabu-shabu-and-lounge-pittsburgh
240	the-elbow-room-pittsburgh-2
241	shady-grove-pittsburgh
242	robert-wholey-and-co-fish-market-pittsburgh
243	sichuan-gourmet-pittsburgh
244	sukhothai-bistro-pittsburgh-2
245	sushi-fuku-pittsburgh
246	pho-minh-pittsburgh
247	mullins-diner-pittsburgh
248	round-corner-cantina-pittsburgh
249	primanti-bros-pittsburgh-8
250	smoq-pitt-pittsburgh-2
251	elevation-restaurant-pittsburgh
252	souper-bowl-pittsburgh
253	casa-rasta-pittsburgh-2
254	stackd-burgers-and-beer-pittsburgh
255	pamelas-pittsburgh-5
256	café-cravings-pittsburgh-2
257	salims-middle-eastern-food-store-pittsburgh
258	lidias-pittsburgh-2
259	spak-brothers-pizza-and-more-pittsburgh
260	hello-bistro-pittsburgh-2
261	local-brewhouse-pittsburgh
262	s-and-d-polish-deli-pittsburgh
263	showcase-bbq-pittsburgh
264	s-and-d-cafe-pittsburgh
265	casa-reyna-pittsburgh
266	uncle-sams-submarines-pittsburgh
267	wilsons-bar-b-q-pittsburgh
268	cafe-sam-pittsburgh
269	pizza-milano-pittsburgh-2
270	whitfield-pittsburgh
271	big-shot-bobs-house-of-wings-avalon-pittsburgh-2
272	carson-street-deli-and-craft-beer-bar-pittsburgh
273	aladdins-eatery-pittsburgh-squirrel-hill-pittsburgh
274	pitaland-pittsburgh
275	culture-pittsburgh
276	girasole-restaurant-pittsburgh
277	no-1-sushi-sushi-pittsburgh
278	union-pig-and-chicken-pittsburgh
279	jolinas-mediterranean-cuisine-pittsburgh
280	johnnys-diner-pittsburgh
281	girasole-restaurant-pittsburgh
282	totopo-mexican-kitchen-and-bar-pittsburgh
283	reyna-foods-pittsburgh
284	jolinas-mediterranean-cuisine-pittsburgh
285	fioris-pizzaria-pittsburgh
286	mad-mex-oakland-pittsburgh
287	café-cravings-pittsburgh-2
288	culture-pittsburgh
289	whitfield-pittsburgh
290	bella-notte-pittsburgh
291	bills-bar-and-burger-pittsburgh-2
292	otb-bicycle-café-pittsburgh-2
293	kelly-os-diner-pittsburgh-2
294	stackd-burgers-and-beer-pittsburgh-3
295	johnnys-diner-pittsburgh
296	rolands-seafood-grill-pittsburgh
297	ramen-bar-pittsburgh
298	the-huddle-pittsburgh
299	aladdins-eatery-pittsburgh-squirrel-hill-pittsburgh
300	casbah-pittsburgh
301	brgr-pittsburgh
302	rolands-seafood-grill-pittsburgh
303	waffallonia-pittsburgh
304	vincents-of-greentree-pittsburgh
305	siam-thai-restaurant-pittsburgh
306	red-hot-pittsburgh-pittsburgh
307	thai-hana-pittsburgh
308	bombay-gyros-and-lunch-box-pittsburgh
309	redbeards-on-sixth-pittsburgh
310	poros-pittsburgh
311	slice-on-broadway-pittsburgh-2
312	hello-bistro-pittsburgh-3
313	city-oven-pittsburgh-2
314	texas-de-brazil-pittsburgh
315	kiku-japanese-restaurant-pittsburgh
316	jamisons-on-west-liberty-pittsburgh
317	my-thai-pittsburgh
318	casbah-pittsburgh
319	corner-mercantile-pittsburgh
320	tipsy-cow-pittsburgh
321	franktuary-pittsburgh-3
322	jamisons-on-west-liberty-pittsburgh
323	smokin-joes-pittsburgh
324	kickback-pinball-cafe-pittsburgh
325	squirrel-hill-cafe-pittsburgh
326	thai-hana-pittsburgh
327	harris-grill-pittsburgh
328	peppis-pittsburgh
329	umi-pittsburgh
330	slice-on-broadway-pittsburgh-2
331	the-melting-pot-pittsburgh
332	tipsy-cow-pittsburgh
